"","ResponseId","Consent_Page","Age","Experience","Familiarity","Healthcare","Channel","Channel_4_TEXT","Healthcare_Level","Healthcare_Level_7_TEXT","Healthcare_Setting","Healthcare_Setting_4_TEXT","Healthcare_Security","Baseline_Response_1","Baseline_Response_2","Baseline_Response_3","Baseline_Response_4","Baseline_Response_5","Baseline_Response_6","Att_Check","V1_B_NM","V1_B_M","V2_B_NM","V2_B_M","V3_B_NM","V3_B_M","V4_B_NM","V4_B_M","V5_B_NM","V5_B_M","V6_B_NM","V6_B_M","V7_B_NM","V7_B_M","V8_B_NM","V8_B_M","V1_AI_NM","V1_AI_M","V2_AI_NM","V2_AI_M","V3_AI_NM","V3_AI_M","V4_AI_NM","V4_AI_M","V5_AI_NM","V5_AI_M","V6_AI_NM","V6_AI_M","V7_AI_NM","V7_AI_M","V8_AI_NM","V8_AI_M","V1_F_NM","V1_F_M","V2_F_NM","V2_F_M","V3_F_NM","V3_F_M","V4_F_NM","V4_F_M","V5_F_NM","V5_F_M","V6_F_NM","V6_F_M","V7_F_NM","V7_F_M","V8_F_NM","V8_F_M","Gender","Country","Country_3_TEXT","Ethnicity","Race","Education","Police_1","Police_2","Police_3","Police_4","Police_5","Politic","Group","Rec_Type","Stratified","V1_Race","V2_Race","V3_Race","V4_Race","V5_Race","V6_Race","V7_Race","V8_Race","V1_Religion","V2_Religion","V3_Religion","V4_Religion","V5_Religion","V6_Religion","V7_Religion","V8_Religion","V1_Random","V1_Rec","V2_Random","V2_Rec","V3_Random","V3_Rec","V4_Random","V4_Rec","V5_Random","V5_Rec","V6_Random","V6_Rec","V7_Random","V7_Rec","V8_Random","V8_Rec","V1_Flag","V2_Flag","V3_Flag","V4_Flag","V5_Flag","V6_Flag","V7_Flag","V8_Flag"
"69",69,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","3","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Neutral","Neutral","Neutral","Disagree","Democratic Party","Baseline","Explicit","True","Caucasian","African American","Caucasian","Caucasian","Caucasian","African American","African American","African American","Muslim","Muslim","Not","Not","Not","Not","Not","Muslim","","","","","","","","","","","","","","","","","","","","","","","",""
"70",70,"Yes, I agree to participate in this study","25 - 34","No","Might or might not","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Disagree","None (i.e. Independent)","Biased","Flag","True","African American","Caucasian","African American","African American","African American","Caucasian","Caucasian","Caucasian","Not","Muslim","Not","Muslim","Not","Muslim","Not","Not","66","police","99","medical","33","police","57","police","90","police","63","medical","96","medical","93","medical","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","",""
"71",71,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","3","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Neutral","Agree","Neutral","Agree","Disagree","Democratic Party","Biased","Explicit","True","African American","Caucasian","Caucasian","Caucasian","African American","African American","Caucasian","African American","Not","Muslim","Not","Muslim","Not","Not","Not","Muslim","15","police","6","police","56","medical","41","police","28","police","26","police","86","medical","11","police","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence"
"72",72,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Attending physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Female","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Neutral","Disagree","Disagree","Agree","Disagree","Prefer not to say","Biased","Explicit","True","Caucasian","African American","Caucasian","African American","Caucasian","African American","Caucasian","African American","Not","Not","Muslim","Muslim","Muslim","Not","Not","Not","64","medical","49","police","58","police","21","police","59","police","56","police","28","police","97","medical","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence",""
"73",73,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Disagree","Democratic Party","Baseline","Flag","True","African American","African American","Caucasian","African American","Caucasian","Caucasian","Caucasian","African American","Not","Muslim","Not","Not","Not","Muslim","Not","Muslim","","","","","","","","","","","","","","","","","","","","","","","",""
"74",74,"Yes, I agree to participate in this study","18 - 24","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Male","United States of America","","No","Asian","Professional degree (JD, MD)","Agree","Agree","Agree","Agree","Disagree","None (i.e. Independent)","Unbiased","Flag","True","Caucasian","Caucasian","African American","Caucasian","African American","African American","African American","Caucasian","Muslim","Not","Not","Muslim","Not","Not","Muslim","Not","35","police","49","medical","4","police","23","police","93","medical","85","medical","19","police","31","medical","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence",""
"75",75,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","3","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Neutral","Democratic Party","Baseline","Explicit","True","Caucasian","African American","Caucasian","Caucasian","African American","African American","Caucasian","African American","Not","Not","Muslim","Not","Muslim","Not","Not","Muslim","","","","","","","","","","","","","","","","","","","","","","","",""
"76",76,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","3","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Neutral","Agree","Disagree","Disagree","None (i.e. Independent)","Biased","Explicit","True","Caucasian","African American","African American","African American","Caucasian","Caucasian","Caucasian","African American","Not","Muslim","Not","Not","Not","Muslim","Muslim","Not","87","medical","81","police","60","police","24","police","53","medical","8","police","52","police","48","police","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence"
"77",77,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Female","United States of America","","Yes","White or Caucasian","Professional degree (JD, MD)","Disagree","Neutral","Disagree","Agree","Neutral","Democratic Party","Unbiased","Explicit","True","African American","Caucasian","Caucasian","Caucasian","African American","African American","African American","Caucasian","Muslim","Not","Not","Not","Not","Muslim","Muslim","Not","43","police","98","medical","24","police","59","medical","21","police","95","medical","77","medical","86","medical","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","",""
"78",78,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","3","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Asian","Professional degree (JD, MD)","Agree","Disagree","Agree","Neutral","Agree","Democratic Party","Baseline","Flag","True","African American","Caucasian","African American","Caucasian","African American","Caucasian","African American","Caucasian","Muslim","Not","Not","Not","Not","Muslim","Muslim","Not","","","","","","","","","","","","","","","","","","","","","","","",""
"79",79,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","5","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Prefer not to say","Professional degree (JD, MD)","Disagree","Disagree","Neutral","Agree","Neutral","None (i.e. Independent)","Baseline","Flag","True","Caucasian","African American","African American","Caucasian","Caucasian","Caucasian","African American","African American","Muslim","Muslim","Muslim","Not","Not","Not","Not","Not","","","","","","","","","","","","","","","","","","","","","","","",""
"80",80,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Police Assistance","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","Female","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Disagree","Disagree","None (i.e. Independent)","Biased","Explicit","True","African American","Caucasian","Caucasian","African American","African American","African American","Caucasian","Caucasian","Not","Not","Not","Muslim","Muslim","Not","Not","Muslim","73","police","96","medical","36","police","32","police","25","police","90","medical","89","medical","55","police","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence"
"81",81,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Female","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Neutral","Neutral","Agree","Disagree","Democratic Party","Unbiased","Flag","True","Caucasian","African American","Caucasian","African American","Caucasian","African American","African American","Caucasian","Not","Not","Not","Not","Not","Muslim","Muslim","Muslim","30","police","15","police","99","medical","53","medical","24","medical","70","medical","89","medical","41","medical","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","","","",""
"82",82,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","3","","Resident physician","","Hospital","","No","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Female","United States of America","","No","A race/ethnicity not listed here","Professional degree (JD, MD)","Agree","Agree","Agree","Disagree","Disagree","Prefer not to say","Biased","Explicit","True","African American","Caucasian","African American","Caucasian","African American","Caucasian","Caucasian","African American","Not","Muslim","Not","Muslim","Muslim","Not","Not","Not","73","police","54","police","96","medical","47","police","17","police","66","medical","100","medical","12","police","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence"
"83",83,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Police Assistance","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","United States of America","","No","Asian","Professional degree (JD, MD)","Agree","Agree","Neutral","Disagree","Neutral","Democratic Party","Baseline","Flag","True","Caucasian","African American","African American","Caucasian","Caucasian","African American","Caucasian","African American","Muslim","Not","Muslim","Not","Not","Not","Not","Muslim","","","","","","","","","","","","","","","","","","","","","","","",""
"84",84,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Other (please specify)","Fellow physician","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Female","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Neutral","Disagree","Disagree","None (i.e. Independent)","Biased","Explicit","True","African American","Caucasian","Caucasian","African American","African American","Caucasian","African American","Caucasian","Not","Muslim","Not","Muslim","Muslim","Not","Not","Not","42","police","99","medical","99","medical","11","police","16","police","91","medical","73","police","62","medical","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence",""
"85",85,"Yes, I agree to participate in this study","25 - 34","No","Might or might not","Yes","3","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Medical Help","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Female","United States of America","","No","Asian","Professional degree (JD, MD)","Neutral","Neutral","Neutral","Agree","Agree","Democratic Party","Unbiased","Explicit","True","African American","Caucasian","African American","African American","Caucasian","African American","Caucasian","Caucasian","Not","Muslim","Not","Muslim","Not","Not","Muslim","Not","100","medical","86","medical","12","police","58","medical","80","medical","100","medical","21","police","41","medical","","","🚩 Our AI system has flagged this call for risk of violence","","","","🚩 Our AI system has flagged this call for risk of violence",""
"86",86,"Yes, I agree to participate in this study","25 - 34","No","Might or might not","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Prefer not to say","Professional degree (JD, MD)","Agree","Agree","Agree","Disagree","Disagree","Democratic Party","Biased","Explicit","True","Caucasian","African American","Caucasian","Caucasian","African American","Caucasian","African American","African American","Muslim","Not","Not","Not","Muslim","Muslim","Not","Not","51","police","1","police","51","medical","9","police","25","police","92","medical","88","medical","83","medical","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","",""
"87",87,"Yes, I agree to participate in this study","35 - 44","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Disagree","Disagree","Democratic Party","Baseline","Flag","True","African American","African American","Caucasian","African American","Caucasian","Caucasian","Caucasian","African American","Muslim","Not","Muslim","Not","Not","Not","Not","Muslim","","","","","","","","","","","","","","","","","","","","","","","",""
"88",88,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Neutral","Agree","Agree","Neutral","Agree","None (i.e. Independent)","Unbiased","Flag","True","Caucasian","African American","African American","Caucasian","African American","African American","Caucasian","Caucasian","Muslim","Not","Not","Not","Muslim","Muslim","Not","Not","47","police","61","medical","39","police","29","medical","9","police","43","medical","36","medical","77","medical","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","",""
"89",89,"Yes, I agree to participate in this study","25 - 34","No","Might or might not","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Asian","Professional degree (JD, MD)","Neutral","Neutral","Neutral","Agree","Neutral","Democratic Party","Baseline","Explicit","True","African American","Caucasian","Caucasian","African American","Caucasian","Caucasian","African American","African American","Not","Muslim","Not","Muslim","Not","Not","Muslim","Not","","","","","","","","","","","","","","","","","","","","","","","",""
"90",90,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Police Assistance","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Asian","Doctoral degree","Neutral","Disagree","Neutral","Agree","Agree","Democratic Party","Biased","Explicit","True","Caucasian","Caucasian","African American","African American","Caucasian","Caucasian","African American","African American","Not","Muslim","Not","Muslim","Muslim","Not","Not","Not","78","medical","71","police","80","police","32","police","6","police","96","medical","50","police","43","police","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence"
"91",91,"Yes, I agree to participate in this study","35 - 44","No","Definitely not","Yes","Through my employer","","Resident physician","","Hospital","","No","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Prefer not to say","United States of America","","Prefer not to say","Prefer not to say","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Neutral","Prefer not to say","Unbiased","Flag","True","African American","Caucasian","African American","Caucasian","Caucasian","African American","Caucasian","African American","Not","Not","Muslim","Not","Not","Muslim","Not","Muslim","39","police","43","police","92","medical","19","police","26","medical","69","medical","48","medical","99","medical","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","","",""
"92",92,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","A race/ethnicity not listed here","Professional degree (JD, MD)","Disagree","Disagree","Neutral","Agree","Agree","Democratic Party","Baseline","Flag","True","Caucasian","African American","Caucasian","African American","African American","Caucasian","African American","Caucasian","Muslim","Not","Not","Muslim","Not","Not","Muslim","Not","","","","","","","","","","","","","","","","","","","","","","","",""
"93",93,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Prefer not to say","Doctoral degree","Agree","Agree","Neutral","Neutral","Disagree","Prefer not to say","Biased","Explicit","True","Caucasian","African American","African American","African American","Caucasian","African American","Caucasian","Caucasian","Muslim","Not","Muslim","Not","Not","Muslim","Not","Not","35","police","19","police","36","police","35","police","48","medical","16","police","32","medical","78","medical","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","",""
"94",94,"Yes, I agree to participate in this study","35 - 44","Yes, for less than one year","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","United States of America","","No","Asian","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Disagree","Democratic Party","Baseline","Explicit","True","African American","Caucasian","Caucasian","Caucasian","African American","Caucasian","African American","African American","Not","Muslim","Not","Not","Muslim","Not","Not","Muslim","","","","","","","","","","","","","","","","","","","","","","","",""
